optimizer,job,iter,epoch,train_loss,val_loss,val_pp,val_acc,iter_dt,lr
newton stable lr0p004_ridge0p5_clip3,2980785_1,600,0.062,5.052,4.964,143.216,0.261533,0.653,0.00353
newton stable lr0p004_ridge0p5_clip3,2980785_1,650,0.067,4.959,,,,0.65,0.00342
newton stable lr0p004_ridge0p5_clip3,2980785_1,700,0.072,4.591,,,,0.659,0.00329
newton stable lr0p004_ridge0p5_clip3,2980785_1,750,0.077,4.763,,,,0.656,0.00315
newton stable lr0p004_ridge0p5_clip3,2980785_1,800,0.082,4.669,4.699,109.886,0.280856,0.733,0.00301
newton stable lr0p004_ridge0p5_clip3,2980785_1,850,0.088,4.518,,,,0.65,0.00285
newton stable lr0p004_ridge0p5_clip3,2980785_1,900,0.093,4.718,,,,0.65,0.00269
newton stable lr0p004_ridge0p5_clip3,2980785_1,950,0.098,4.706,,,,0.657,0.00253
newton stable lr0p004_ridge0p5_clip3,2980785_1,1000,0.103,4.567,4.504,90.377,0.296712,0.656,0.00236
newton stable lr0p004_ridge0p5_clip3,2980785_1,1050,0.108,4.596,,,,0.661,0.00219
newton stable lr0p004_ridge0p5_clip3,2980785_1,1100,0.113,4.114,,,,0.651,0.00202
newton stable lr0p004_ridge0p5_clip3,2980785_1,1150,0.118,4.392,,,,0.655,0.00184
newton stable lr0p004_ridge0p5_clip3,2980785_1,1200,0.124,4.338,4.343,76.922,0.312925,0.652,0.00167
newton stable lr0p004_ridge0p5_clip3,2980785_1,1250,0.129,4.14,,,,0.648,0.0015
newton stable lr0p004_ridge0p5_clip3,2980785_1,1300,0.134,4.387,,,,0.658,0.00134
newton stable lr0p004_ridge0p5_clip3,2980785_1,1350,0.139,4.419,,,,0.652,0.00118
newton stable lr0p004_ridge0p5_clip3,2980785_1,1400,0.144,4.189,4.221,68.111,0.325457,0.651,0.00103
newton stable lr0p004_ridge0p5_clip3,2980785_1,1450,0.149,4.266,,,,0.651,0.000881
newton stable lr0p004_ridge0p5_clip3,2980785_1,1500,0.155,4.154,,,,0.652,0.000745
newton stable lr0p004_ridge0p5_clip3,2980785_1,1550,0.16,4.092,,,,0.662,0.000617
newton stable lr0p004_ridge0p5_clip3,2980785_1,1600,0.165,3.998,4.145,63.095,0.333491,0.747,0.000501
newton stable lr0p004_ridge0p5_clip3,2980785_1,1650,0.17,4.241,,,,0.657,0.000396
newton stable lr0p004_ridge0p5_clip3,2980785_1,1700,0.175,4.129,,,,0.651,0.000304
newton stable lr0p004_ridge0p5_clip3,2980785_1,1750,0.18,4.322,,,,0.66,0.000224
newton stable lr0p004_ridge0p5_clip3,2980785_1,1800,0.186,4.255,4.107,60.738,0.337596,0.644,0.000158
newton stable lr0p004_ridge0p5_clip3,2980785_1,1850,0.191,4.057,,,,0.659,0.000107
newton stable lr0p004_ridge0p5_clip3,2980785_1,1900,0.196,4.101,,,,0.654,6.95e-05
newton stable lr0p004_ridge0p5_clip3,2980785_1,1950,0.201,4.128,,,,0.657,4.72e-05
newton stable lr0p004_ridge0p5_clip3,2980785_1,2000,0.206,4.206,4.097,60.169,0.337765,0.651,4e-05
newton stable lr0p004_ridge1p0_clip3,2980785_2,0,0.0,,10.919,55212.447,8.6e-05,,
newton stable lr0p004_ridge1p0_clip3,2980785_2,50,0.005,9.371,,,,0.557,0.000625
newton stable lr0p004_ridge1p0_clip3,2980785_2,100,0.01,6.749,,,,0.558,0.00204
newton stable lr0p004_ridge1p0_clip3,2980785_2,150,0.015,6.075,,,,0.557,0.00344
newton stable lr0p004_ridge1p0_clip3,2980785_2,200,0.021,6.034,5.893,362.564,0.194572,0.558,0.004
newton stable lr0p004_ridge1p0_clip3,2980785_2,250,0.026,5.776,,,,0.557,0.00399
newton stable lr0p004_ridge1p0_clip3,2980785_2,300,0.031,5.583,,,,0.558,0.00397
newton stable lr0p004_ridge1p0_clip3,2980785_2,350,0.036,5.525,,,,0.558,0.00393
newton stable lr0p004_ridge1p0_clip3,2980785_2,400,0.041,5.264,5.34,208.594,0.232524,0.559,0.00388
newton stable lr0p004_ridge1p0_clip3,2980785_2,450,0.046,5.107,,,,0.558,0.00381
newton stable lr0p004_ridge1p0_clip3,2980785_2,500,0.051,5.039,,,,0.558,0.00373
newton stable lr0p004_ridge1p0_clip3,2980785_2,550,0.057,5.027,,,,0.552,0.00364
newton stable lr0p004_ridge1p0_clip3,2980785_2,600,0.062,5.047,4.958,142.309,0.262113,0.559,0.00353
newton stable lr0p004_ridge1p0_clip3,2980785_2,650,0.067,4.953,,,,0.558,0.00342
newton stable lr0p004_ridge1p0_clip3,2980785_2,700,0.072,4.593,,,,0.557,0.00329
newton stable lr0p004_ridge1p0_clip3,2980785_2,750,0.077,4.755,,,,0.558,0.00315
newton stable lr0p004_ridge1p0_clip3,2980785_2,800,0.082,4.659,4.691,108.911,0.282117,0.644,0.00301
newton stable lr0p004_ridge1p0_clip3,2980785_2,850,0.088,4.507,,,,0.558,0.00285
newton stable lr0p004_ridge1p0_clip3,2980785_2,900,0.093,4.711,,,,0.558,0.00269
newton stable lr0p004_ridge1p0_clip3,2980785_2,950,0.098,4.691,,,,0.557,0.00253
newton stable lr0p004_ridge1p0_clip3,2980785_2,1000,0.103,4.555,4.485,88.678,0.299306,0.558,0.00236
newton stable lr0p004_ridge1p0_clip3,2980785_2,1050,0.108,4.577,,,,0.557,0.00219
newton stable lr0p004_ridge1p0_clip3,2980785_2,1100,0.113,4.076,,,,0.558,0.00202
newton stable lr0p004_ridge1p0_clip3,2980785_2,1150,0.118,4.365,,,,0.558,0.00184
newton stable lr0p004_ridge1p0_clip3,2980785_2,1200,0.124,4.313,4.316,74.869,0.316569,0.558,0.00167
newton stable lr0p004_ridge1p0_clip3,2980785_2,1250,0.129,4.125,,,,0.558,0.0015
newton stable lr0p004_ridge1p0_clip3,2980785_2,1300,0.134,4.363,,,,0.557,0.00134
newton stable lr0p004_ridge1p0_clip3,2980785_2,1350,0.139,4.394,,,,0.558,0.00118
newton stable lr0p004_ridge1p0_clip3,2980785_2,1400,0.144,4.168,4.201,66.76,0.328092,0.557,0.00103
newton stable lr0p004_ridge1p0_clip3,2980785_2,1450,0.149,4.236,,,,0.558,0.000881
newton stable lr0p004_ridge1p0_clip3,2980785_2,1500,0.155,4.137,,,,0.558,0.000745
newton stable lr0p004_ridge1p0_clip3,2980785_2,1550,0.16,4.074,,,,0.559,0.000617
newton stable lr0p004_ridge1p0_clip3,2980785_2,1600,0.165,3.985,4.126,61.955,0.335373,0.644,0.000501
newton stable lr0p004_ridge1p0_clip3,2980785_2,1650,0.17,4.221,,,,0.558,0.000396
newton stable lr0p004_ridge1p0_clip3,2980785_2,1700,0.175,4.115,,,,0.558,0.000304
newton stable lr0p004_ridge1p0_clip3,2980785_2,1750,0.18,4.301,,,,0.558,0.000224
newton stable lr0p004_ridge1p0_clip3,2980785_2,1800,0.186,4.233,4.09,59.734,0.339996,0.554,0.000158
newton stable lr0p004_ridge1p0_clip3,2980785_2,1850,0.191,4.038,,,,0.557,0.000107
newton stable lr0p004_ridge1p0_clip3,2980785_2,1900,0.196,4.09,,,,0.557,6.95e-05
newton stable lr0p004_ridge1p0_clip3,2980785_2,1950,0.201,4.12,,,,0.557,4.72e-05
newton stable lr0p004_ridge1p0_clip3,2980785_2,2000,0.206,4.191,4.08,59.15,0.340409,0.559,4e-05
newton stable lr0p005_ridge0p5_clip3,2980785_0,0,0.0,,10.919,55212.447,8.6e-05,,
newton stable lr0p005_ridge0p5_clip3,2980785_0,50,0.005,9.274,,,,0.611,0.000782
newton stable lr0p005_ridge0p5_clip3,2980785_0,100,0.01,6.718,,,,0.61,0.00254
newton stable lr0p005_ridge0p5_clip3,2980785_0,150,0.015,6.065,,,,0.611,0.0043
newton stable lr0p005_ridge0p5_clip3,2980785_0,200,0.021,6.028,5.884,359.417,0.195966,0.613,0.005
newton stable lr0p005_ridge0p5_clip3,2980785_0,250,0.026,5.767,,,,0.611,0.00499
newton stable lr0p005_ridge0p5_clip3,2980785_0,300,0.031,5.573,,,,0.611,0.00496
newton stable lr0p005_ridge0p5_clip3,2980785_0,350,0.036,5.506,,,,0.611,0.00491
newton stable lr0p005_ridge0p5_clip3,2980785_0,400,0.041,5.231,5.311,202.571,0.236031,0.611,0.00485
newton stable lr0p005_ridge0p5_clip3,2980785_0,450,0.046,5.078,,,,0.611,0.00477
newton stable lr0p005_ridge0p5_clip3,2980785_0,500,0.051,5.011,,,,0.611,0.00467
newton stable lr0p005_ridge0p5_clip3,2980785_0,550,0.057,4.989,,,,0.61,0.00455
newton stable lr0p005_ridge0p5_clip3,2980785_0,600,0.062,5.008,4.921,137.091,0.264913,0.605,0.00442
