optimizer,job,experiment_name,tag,newton_lr,ridge,precond_clip,iter,epoch,train_loss,val_loss,val_pp,val_acc,iter_dt,lr
newton-muon-stable,2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,0,0.0,,10.919,55212.447,8.6e-05,,
newton-muon-stable,2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,50,0.005,9.394,,,,0.611,0.000625
newton-muon-stable,2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,100,0.01,6.757,,,,0.614,0.00204
newton-muon-stable,2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,150,0.015,6.078,,,,0.614,0.00344
newton-muon-stable,2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,200,0.021,6.034,5.893,362.603,0.194336,0.615,0.004
newton-muon-stable,2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,250,0.026,5.775,,,,0.634,0.00399
newton-muon-stable,2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,300,0.031,5.581,,,,0.647,0.00397
newton-muon-stable,2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,350,0.036,5.527,,,,0.654,0.00393
newton-muon-stable,2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,400,0.041,5.264,5.346,209.715,0.23188,0.654,0.00388
newton-muon-stable,2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,450,0.046,5.111,,,,0.653,0.00381
newton-muon-stable,2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,500,0.051,5.049,,,,0.655,0.00373
newton-muon-stable,2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,550,0.057,5.034,,,,0.651,0.00364
newton-muon-stable,2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,600,0.062,5.052,4.964,143.216,0.261533,0.653,0.00353
newton-muon-stable,2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,650,0.067,4.959,,,,0.65,0.00342
newton-muon-stable,2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,700,0.072,4.591,,,,0.659,0.00329
newton-muon-stable,2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,750,0.077,4.763,,,,0.656,0.00315
newton-muon-stable,2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,800,0.082,4.669,4.699,109.886,0.280856,0.733,0.00301
newton-muon-stable,2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,850,0.088,4.518,,,,0.65,0.00285
newton-muon-stable,2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,900,0.093,4.718,,,,0.65,0.00269
newton-muon-stable,2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,950,0.098,4.706,,,,0.657,0.00253
