optimizer,status,job,experiment_name,tag,newton_lr,ridge,precond_clip,num_train_points,num_eval_points,final_iter,final_val_loss,final_val_pp,final_val_acc,best_finite_iter,best_finite_val_loss,best_finite_val_pp,best_finite_val_acc,last_finite_train_iter,first_nan_train_iter,mean_iter_dt_sec,min_logged_lr,max_logged_lr,err_nonempty,precond_logs,mean_precond_clipped_frac,final_precond_clipped_frac,max_precond_max_ratio,final_precond_max_ratio
newton-muon-stable,COMPLETED,2980785_0,gpt_nmstab_2980786_0_lr0p005_ridge0p5_clip3,lr0p005_ridge0p5_clip3,0.005,0.5,3.0,40,11,2000,4.05,57.423,0.344421,2000,4.05,57.423,0.344421,2000,,0.6146250000000001,5e-05,0.005,False,10,0.311390625,0.28109375,233.5,28.41
newton-muon-stable,COMPLETED,2980785_2,gpt_nmstab_2980785_2_lr0p004_ridge1p0_clip3,lr0p004_ridge1p0_clip3,0.004,1.0,3.0,40,11,2000,4.08,59.15,0.340409,2000,4.08,59.15,0.340409,2000,,0.5618749999999999,4e-05,0.004,False,10,0.27184375,0.2671875,1040.0,128.5
newton-muon-stable,COMPLETED,2980785_1,gpt_nmstab_2980788_1_lr0p004_ridge0p5_clip3,lr0p004_ridge0p5_clip3,0.004,0.5,3.0,40,11,2000,4.097,60.169,0.337765,2000,4.097,60.169,0.337765,2000,,0.653475,4e-05,0.004,False,10,0.368234375,0.34703125,157.3,60.77
