JobID|JobName|State|Elapsed|ExitCode|MaxRSS
2980785_0|gpt_nm_stab|COMPLETED|00:21:44|0:0|
2980785_0.batch|batch|COMPLETED|00:21:44|0:0|1218576K
2980785_0.extern|extern|COMPLETED|00:21:44|0:0|128K
2980785_1|gpt_nm_stab|COMPLETED|00:23:54|0:0|
2980785_1.batch|batch|COMPLETED|00:23:54|0:0|1550856K
2980785_1.extern|extern|COMPLETED|00:23:55|0:0|128K
2980785_2|gpt_nm_stab|COMPLETED|00:20:39|0:0|
2980785_2.batch|batch|COMPLETED|00:20:39|0:0|1401244K
2980785_2.extern|extern|COMPLETED|00:20:39|0:0|128K
