optimizer,step,epoch,eval_accuracy
muon,504,38.76923076923077,0.6355
muon,528,40.61538461538461,0.6361
muon,552,42.46153846153846,0.6291
muon,576,44.30769230769231,0.6323
muon,600,46.15384615384615,0.6391
muon,624,48.0,0.6429
muon,648,49.84615384615385,0.6401
muon,672,51.69230769230769,0.6432
muon,696,53.53846153846154,0.6392
muon,720,55.38461538461539,0.6469
muon,744,57.23076923076923,0.6421
muon,768,59.07692307692308,0.6428
muon,792,60.92307692307692,0.6477
muon,816,62.76923076923077,0.641
muon,840,64.61538461538461,0.6439
muon,864,66.46153846153847,0.6473
muon,888,68.3076923076923,0.6424
muon,912,70.15384615384616,0.6475
muon,936,72.0,0.6494
muon,960,73.84615384615384,0.6542
muon,984,75.6923076923077,0.6569
muon,1008,77.53846153846153,0.6538
muon,1032,79.38461538461539,0.6533
muon,1056,81.23076923076923,0.6564
muon,1080,83.07692307692308,0.6541
muon,1104,84.92307692307692,0.6582
muon,1128,86.76923076923077,0.6596
muon,1152,88.61538461538461,0.6589
muon,1176,90.46153846153848,0.6603
muon,1200,92.3076923076923,0.6624
muon,1224,94.15384615384616,0.6606
muon,1248,96.0,0.6603
muon,1272,97.84615384615384,0.6621
muon,1296,99.6923076923077,0.6639
muon,1300,100.0,0.6624
newton_muon,24,1.8461538461538465,0.2846
newton_muon,48,3.692307692307693,0.3962
newton_muon,72,5.538461538461538,0.4746
newton_muon,96,7.384615384615385,0.4973
newton_muon,120,9.23076923076923,0.5145
newton_muon,144,11.076923076923077,0.5294
newton_muon,168,12.923076923076923,0.5491
newton_muon,192,14.76923076923077,0.5566
newton_muon,216,16.615384615384617,0.5582
newton_muon,240,18.46153846153846,0.587
newton_muon,264,20.307692307692307,0.5946
newton_muon,288,22.153846153846153,0.6026
newton_muon,312,24.0,0.601
newton_muon,336,25.846153846153847,0.6055
newton_muon,360,27.692307692307693,0.6122
newton_muon,384,29.53846153846154,0.619
newton_muon,408,31.384615384615383,0.6241
newton_muon,432,33.23076923076923,0.6272
newton_muon,456,35.07692307692308,0.6272
newton_muon,480,36.92307692307692,0.6383
newton_muon,504,38.76923076923077,0.643
newton_muon,528,40.61538461538461,0.6415
newton_muon,552,42.46153846153846,0.6402
newton_muon,576,44.30769230769231,0.6419
newton_muon,600,46.15384615384615,0.6513
newton_muon,624,48.0,0.6528
newton_muon,648,49.84615384615385,0.6494
newton_muon,672,51.69230769230769,0.6542
newton_muon,696,53.53846153846154,0.6558
newton_muon,720,55.38461538461539,0.6573
newton_muon,744,57.23076923076923,0.6554
newton_muon,768,59.07692307692308,0.6559
newton_muon,792,60.92307692307692,0.6564
newton_muon,816,62.76923076923077,0.6574
newton_muon,840,64.61538461538461,0.6633
newton_muon,864,66.46153846153847,0.6578
newton_muon,888,68.3076923076923,0.6601
newton_muon,912,70.15384615384616,0.6639
newton_muon,936,72.0,0.6633
newton_muon,960,73.84615384615384,0.6639
newton_muon,984,75.6923076923077,0.6649
newton_muon,1008,77.53846153846153,0.6625
newton_muon,1032,79.38461538461539,0.6633
newton_muon,1056,81.23076923076923,0.6613
newton_muon,1080,83.07692307692308,0.6661
newton_muon,1104,84.92307692307692,0.6663
newton_muon,1128,86.76923076923077,0.6697
newton_muon,1152,88.61538461538461,0.6702
newton_muon,1176,90.46153846153848,0.6691
newton_muon,1200,92.3076923076923,0.6723
newton_muon,1224,94.15384615384616,0.6705
newton_muon,1248,96.0,0.6686
newton_muon,1272,97.84615384615384,0.6749
newton_muon,1296,99.6923076923077,0.6738
newton_muon,1300,100.0,0.6733
