optimizer,step,epoch,eval_accuracy
adamw,24,1.8461538461538465,0.2527
adamw,48,3.692307692307693,0.3253
adamw,72,5.538461538461538,0.3856
adamw,96,7.384615384615385,0.273
adamw,120,9.23076923076923,0.3668
adamw,144,11.076923076923077,0.4228
adamw,168,12.923076923076923,0.4612
adamw,192,14.76923076923077,0.465
adamw,216,16.615384615384617,0.4768
adamw,240,18.46153846153846,0.4829
adamw,264,20.307692307692307,0.4937
adamw,288,22.153846153846153,0.5008
adamw,312,24.0,0.5024
adamw,336,25.846153846153847,0.5168
adamw,360,27.692307692307693,0.5011
adamw,384,29.53846153846154,0.5158
adamw,408,31.384615384615383,0.523
adamw,432,33.23076923076923,0.5352
adamw,456,35.07692307692308,0.5361
adamw,480,36.92307692307692,0.5431
adamw,504,38.76923076923077,0.5509
adamw,528,40.61538461538461,0.5391
adamw,552,42.46153846153846,0.5482
adamw,576,44.30769230769231,0.5551
adamw,600,46.15384615384615,0.5529
adamw,624,48.0,0.5591
adamw,648,49.84615384615385,0.5695
adamw,672,51.69230769230769,0.5574
adamw,696,53.53846153846154,0.5672
adamw,720,55.38461538461539,0.573
adamw,744,57.23076923076923,0.5721
adamw,768,59.07692307692308,0.5745
adamw,792,60.92307692307692,0.5788
adamw,816,62.76923076923077,0.5798
adamw,840,64.61538461538461,0.5728
adamw,864,66.46153846153847,0.5842
adamw,888,68.3076923076923,0.5832
adamw,912,70.15384615384616,0.5871
adamw,936,72.0,0.5855
adamw,960,73.84615384615384,0.5851
adamw,984,75.6923076923077,0.5923
adamw,1008,77.53846153846153,0.5951
adamw,1032,79.38461538461539,0.5945
adamw,1056,81.23076923076923,0.5953
adamw,1080,83.07692307692308,0.5928
adamw,1104,84.92307692307692,0.5995
adamw,1128,86.76923076923077,0.5936
adamw,1152,88.61538461538461,0.5988
adamw,1176,90.46153846153848,0.5988
adamw,1200,92.3076923076923,0.5996
adamw,1224,94.15384615384616,0.6034
adamw,1248,96.0,0.5991
adamw,1272,97.84615384615384,0.6098
adamw,1296,99.6923076923077,0.6038
adamw,1300,100.0,0.6051
muon,24,1.8461538461538465,0.2332
muon,48,3.692307692307693,0.2945
muon,72,5.538461538461538,0.345
muon,96,7.384615384615385,0.3771
muon,120,9.23076923076923,0.4715
muon,144,11.076923076923077,0.5181
muon,168,12.923076923076923,0.5152
muon,192,14.76923076923077,0.5469
muon,216,16.615384615384617,0.572
muon,240,18.46153846153846,0.5837
muon,264,20.307692307692307,0.5937
muon,288,22.153846153846153,0.5909
muon,312,24.0,0.5954
muon,336,25.846153846153847,0.6088
muon,360,27.692307692307693,0.6201
muon,384,29.53846153846154,0.6205
muon,408,31.384615384615383,0.6252
muon,432,33.23076923076923,0.6271
muon,456,35.07692307692308,0.6226
muon,480,36.92307692307692,0.6307
